state,stateabb,year,binge_female,binge_male,binge_all,poverty
Montana,MT,2016,13.0,24.9,18.9,
Montana,MT,2017,13.0,25.9,19.5,
Montana,MT,2018,13.6,22.4,18.0,
Montana,MT,2019,14.7,26.7,20.7,
Montana,MT,2020,14.7,24.7,19.7,
Montana,MT,2021,15.4,25.6,20.5,
Nebraska,NE,2011,15.7,30.2,22.7,
Nebraska,NE,2012,15.5,29.1,22.1,
Nebraska,NE,2013,15.0,25.2,20.0,
Nebraska,NE,2014,14.1,26.8,20.3,
Nebraska,NE,2015,13.1,26.0,19.5,
Nebraska,NE,2016,13.1,27.2,20.0,
Nebraska,NE,2017,14.2,27.3,20.6,
Nebraska,NE,2018,14.9,27.7,21.2,
Nebraska,NE,2019,15.7,26.1,20.9,
Nebraska,NE,2020,14.4,26.6,20.4,
Nebraska,NE,2021,14.3,24.8,19.5,
Nevada,NV,2011,13.2,23.9,18.6,
Nevada,NV,2012,9.4,20.7,15.1,
Nevada,NV,2013,9.2,21.1,15.2,
Nevada,NV,2014,10.4,21.6,16.0,
Nevada,NV,2015,8.4,20.2,14.2,
Nevada,NV,2016,11.7,20.0,15.8,
Nevada,NV,2017,12.0,23.8,17.9,
Nevada,NV,2018,9.6,20.4,15.0,
Nevada,NV,2019,13.0,20.8,16.8,
Nevada,NV,2020,12.4,22.1,17.1,
Nevada,NV,2021,8.6,16.9,12.7,
New Hampshire,NH,2011,12.9,24.7,18.7,
New Hampshire,NH,2012,12.3,22.0,17.0,
New Hampshire,NH,2013,12.2,21.7,16.8,
New Hampshire,NH,2014,12.4,21.6,16.8,
New Hampshire,NH,2015,11.8,21.5,16.5,
New Hampshire,NH,2016,13.2,23.1,18.0,
New Hampshire,NH,2017,13.3,24.3,18.7,
New Hampshire,NH,2018,10.2,22.5,16.2,
New Hampshire,NH,2019,11.8,21.8,16.7,
New Hampshire,NH,2020,12.5,19.8,16.0,
New Hampshire,NH,2021,11.0,18.3,14.6,
New Jersey,NJ,2011,12.7,24.1,18.2,
New Jersey,NJ,2012,12.1,23.8,17.7,
New Jersey,NJ,2013,11.6,21.5,16.3,
New Jersey,NJ,2014,11.6,20.5,15.8,
New Jersey,NJ,2015,11.6,20.9,16.0,
New Jersey,NJ,2016,12.0,20.3,16.0,
New Jersey,NJ,2017,11.1,22.8,16.7,
New Jersey,NJ,2018,9.2,18.1,13.5,
New Jersey,NJ,2020,11.7,19.1,15.2,
New Jersey,NJ,2021,11.0,18.5,14.6,
New Mexico,NM,2011,10.1,23.0,16.4,
New Mexico,NM,2012,9.2,20.3,14.6,
New Mexico,NM,2013,9.1,20.1,14.5,
New Mexico,NM,2014,7.4,20.5,13.7,
New Mexico,NM,2015,8.6,17.4,12.9,
New Mexico,NM,2016,9.5,20.8,15.0,
New Mexico,NM,2017,10.3,19.3,14.7,
New Mexico,NM,2018,9.4,20.2,14.6,
New Mexico,NM,2019,9.8,20.0,14.7,
New Mexico,NM,2020,8.5,20.3,14.2,
New Mexico,NM,2021,9.7,16.8,13.2,
New York,NY,2011,14.4,25.1,19.6,
New York,NY,2012,11.2,23.3,17.0,
New York,NY,2013,12.1,23.3,17.4,
New York,NY,2014,11.9,18.4,15.0,
New York,NY,2015,11.9,22.0,16.7,
New York,NY,2016,12.8,22.7,17.5,
New York,NY,2017,13.3,22.1,17.5,
New York,NY,2018,12.3,21.4,16.5,
New York,NY,2019,13.0,20.8,16.7,
New York,NY,2020,11.2,18.4,14.7,
New York,NY,2021,11.5,18.6,14.9,
North Carolina,NC,2011,9.7,21.3,15.2,
North Carolina,NC,2012,8.2,18.5,13.1,
North Carolina,NC,2013,8.6,17.9,13.0,
North Carolina,NC,2014,8.3,19.6,13.6,
North Carolina,NC,2015,9.3,18.8,13.8,
North Carolina,NC,2016,10.7,18.9,14.6,
North Carolina,NC,2017,11.1,20.2,15.4,
North Carolina,NC,2018,9.4,20.7,14.7,
North Carolina,NC,2019,10.5,17.0,13.5,
North Carolina,NC,2020,10.5,18.1,14.1,
North Carolina,NC,2021,11.1,19.9,15.3,
North Dakota,ND,2011,16.4,31.3,23.8,
North Dakota,ND,2012,18.1,30.0,24.1,
North Dakota,ND,2013,15.5,32.2,23.8,
North Dakota,ND,2014,17.8,29.9,24.0,
North Dakota,ND,2015,16.9,31.0,24.1,
North Dakota,ND,2016,17.2,32.1,24.8,
North Dakota,ND,2017,16.9,29.6,23.3,
North Dakota,ND,2018,16.4,27.2,22.0,
North Dakota,ND,2019,14.9,29.2,22.2,
North Dakota,ND,2020,16.3,25.2,20.8,
North Dakota,ND,2021,15.0,26.3,20.8,
Ohio,OH,2011,14.0,26.6,20.1,
Ohio,OH,2012,13.0,23.5,18.0,
Ohio,OH,2013,12.1,22.5,17.1,
Ohio,OH,2014,12.5,24.1,18.0,
Ohio,OH,2015,12.9,24.0,18.2,
Ohio,OH,2016,12.8,23.5,17.9,
Ohio,OH,2017,12.5,26.0,18.9,
Ohio,OH,2018,11.1,20.8,15.8,
Ohio,OH,2019,12.5,22.8,17.5,
Ohio,OH,2020,12.7,20.1,16.3,
Ohio,OH,2021,13.5,20.3,16.8,
Oklahoma,OK,2011,9.3,24.2,16.5,
Oklahoma,OK,2012,9.3,19.7,14.4,
Oklahoma,OK,2013,7.9,17.7,12.7,
Oklahoma,OK,2014,7.4,18.6,12.8,
Oklahoma,OK,2015,8.6,18.0,13.1,
Oklahoma,OK,2016,7.7,16.3,11.8,
Oklahoma,OK,2017,8.8,18.3,13.4,
Oklahoma,OK,2018,8.6,17.5,13.0,
Oklahoma,OK,2019,8.6,17.1,12.7,
Oklahoma,OK,2020,7.6,16.0,11.6,
Oklahoma,OK,2021,7.5,16.6,11.9,
Oregon,OR,2011,11.7,21.4,16.4,
Oregon,OR,2012,10.7,20.2,15.3,
Oregon,OR,2013,12.4,20.8,16.5,
Oregon,OR,2014,12.6,20.8,16.6,
Oregon,OR,2015,13.1,20.3,16.6,
Oregon,OR,2016,11.9,20.8,16.3,
Oregon,OR,2017,12.4,19.7,16.0,
Oregon,OR,2018,12.4,19.4,15.9,
Oregon,OR,2019,13.1,22.1,17.5,
Oregon,OR,2020,12.0,20.6,16.2,
Oregon,OR,2021,11.3,20.5,15.8,
Pennsylvania,PA,2011,13.0,24.1,18.3,
Pennsylvania,PA,2012,12.6,23.6,17.9,
Pennsylvania,PA,2013,10.7,24.2,17.2,
Pennsylvania,PA,2014,10.6,23.2,16.7,
Pennsylvania,PA,2015,11.7,22.6,17.0,
Pennsylvania,PA,2016,13.8,25.3,19.4,
Pennsylvania,PA,2017,13.5,23.3,18.2,
Pennsylvania,PA,2018,12.1,22.1,17.1,
Pennsylvania,PA,2019,12.5,21.5,16.9,
Pennsylvania,PA,2020,12.7,21.1,16.8,
Pennsylvania,PA,2021,12.1,18.8,15.3,
Puerto Rico,PR,2011,7.8,24.1,15.3,
Puerto Rico,PR,2012,7.6,21.8,14.1,
Puerto Rico,PR,2013,7.5,23.6,15.0,
Puerto Rico,PR,2014,8.5,18.8,13.2,
Puerto Rico,PR,2015,6.4,20.1,12.7,
Puerto Rico,PR,2016,7.7,18.1,12.5,
Puerto Rico,PR,2017,6.8,20.5,13.1,
Puerto Rico,PR,2018,7.4,21.2,13.8,
Puerto Rico,PR,2019,7.4,19.6,13.1,
Puerto Rico,PR,2020,6.7,19.7,12.7,
Puerto Rico,PR,2021,7.5,17.8,12.2,
Rhode Island,RI,2011,13.1,27.0,19.6,
Rhode Island,RI,2012,12.3,22.6,17.2,
Rhode Island,RI,2013,12.7,23.4,17.8,
Rhode Island,RI,2014,12.1,25.2,18.4,
Rhode Island,RI,2015,11.4,21.0,16.0,
Rhode Island,RI,2016,11.1,21.0,15.8,
Rhode Island,RI,2017,12.5,24.1,18.0,
Rhode Island,RI,2018,12.7,20.6,16.5,
Rhode Island,RI,2019,13.8,23.0,18.2,
Rhode Island,RI,2020,10.8,19.9,15.1,
Rhode Island,RI,2021,12.8,22.2,17.3,
South Carolina,SC,2011,9.7,21.8,15.4,
South Carolina,SC,2012,9.6,21.8,15.4,
South Carolina,SC,2013,9.3,21.2,14.9,
South Carolina,SC,2014,9.0,19.7,14.1,
South Carolina,SC,2015,10.1,20.9,15.2,
South Carolina,SC,2016,11.3,22.9,16.8,
South Carolina,SC,2017,10.2,21.3,15.5,
South Carolina,SC,2018,9.5,21.2,15.1,
South Carolina,SC,2019,13.4,18.7,15.9,
South Carolina,SC,2020,10.8,21.0,15.7,
South Carolina,SC,2021,10.9,19.5,15.0,
South Dakota,SD,2011,15.7,28.7,22.1,
South Dakota,SD,2012,13.9,27.4,20.6,
South Dakota,SD,2013,13.5,25.0,19.2,
South Dakota,SD,2014,12.1,22.9,17.4,
South Dakota,SD,2015,12.0,21.9,16.9,
South Dakota,SD,2016,14.3,24.3,19.3,
South Dakota,SD,2017,10.8,24.3,17.4,
South Dakota,SD,2018,15.5,27.1,21.3,
South Dakota,SD,2019,16.1,26.4,21.2,
South Dakota,SD,2020,11.7,24.0,17.9,
South Dakota,SD,2021,14.8,24.4,19.6,
Tennessee,TN,2011,5.6,15.1,10.0,
Tennessee,TN,2012,6.5,16.6,11.3,
Tennessee,TN,2013,6.5,13.1,9.6,
Tennessee,TN,2014,5.9,15.7,10.6,
Tennessee,TN,2015,7.0,14.0,10.3,
Tennessee,TN,2016,9.8,16.6,13.1,
Tennessee,TN,2017,9.3,17.3,13.1,
Tennessee,TN,2018,9.9,19.0,14.3,
Tennessee,TN,2019,10.0,19.1,14.4,
Tennessee,TN,2020,9.7,18.9,14.1,
Tennessee,TN,2021,10.3,18.5,14.2,
Texas,TX,2011,11.7,26.3,18.9,
Texas,TX,2012,8.8,24.1,16.2,
Texas,TX,2013,10.2,23.5,16.7,
Texas,TX,2014,10.8,22.1,16.3,
Texas,TX,2015,9.9,22.2,15.9,
Texas,TX,2016,11.7,24.4,17.9,
Texas,TX,2017,12.8,23.2,17.8,
Texas,TX,2018,12.4,22.6,17.4,
Texas,TX,2019,12.0,24.2,17.9,
Texas,TX,2020,10.8,22.4,16.4,
Texas,TX,2021,12.0,21.1,16.4,
United States,US,2011,12.6,24.2,18.3,
United States,US,2012,11.4,22.9,16.9,
United States,US,2013,11.3,22.2,16.8,
United States,US,2014,11.1,21.4,16.0,
United States,US,2015,11.7,21.4,16.3,
United States,US,2016,12.0,21.9,16.9,
United States,US,2017,12.4,22.3,17.4,
United States,US,2018,11.6,21.2,16.2,
United States,US,2019,12.4,21.6,16.8,
United States,US,2020,11.4,20.3,15.7,
United States,US,2021,11.5,19.6,15.4,
Utah,UT,2011,7.0,17.0,12.0,
Utah,UT,2012,7.2,15.2,11.2,
Utah,UT,2013,8.5,16.2,12.3,
Utah,UT,2014,7.5,15.3,11.4,
Utah,UT,2015,7.8,15.5,11.6,
Utah,UT,2016,8.3,16.7,12.5,
Utah,UT,2017,8.4,14.8,11.5,
Utah,UT,2018,7.8,13.5,10.6,
Utah,UT,2019,8.0,14.5,11.2,
Utah,UT,2020,8.0,14.7,11.3,
Utah,UT,2021,8.4,15.1,11.7,
Vermont,VT,2011,12.6,24.6,18.5,
Vermont,VT,2012,14.0,25.1,19.3,
Vermont,VT,2013,12.1,22.5,17.1,
Vermont,VT,2014,12.7,23.5,17.9,
Vermont,VT,2015,12.2,22.5,17.2,
Vermont,VT,2016,13.8,23.3,18.4,
Vermont,VT,2017,13.0,22.0,17.4,
Vermont,VT,2018,12.9,20.4,16.5,
Vermont,VT,2019,14.3,22.5,18.3,
Vermont,VT,2020,13.1,22.4,17.6,
Vermont,VT,2021,13.8,20.2,17.0,
Virgin Islands,VI,2016,8.6,22.9,15.2,
Virgin Islands,VI,2021,7.7,18.4,12.6,
Virginia,VA,2011,13.6,22.5,17.9,
Virginia,VA,2012,11.2,20.5,15.7,
Virginia,VA,2013,10.3,22.0,15.9,
Virginia,VA,2014,10.7,20.0,15.2,
Virginia,VA,2015,12.3,20.7,16.3,
Virginia,VA,2016,11.8,20.2,15.8,
Virginia,VA,2017,11.9,20.2,16.0,
Virginia,VA,2018,11.6,19.6,15.5,
Virginia,VA,2019,11.2,19.7,15.3,
Virginia,VA,2020,10.4,19.5,14.8,
Virginia,VA,2021,12.5,18.5,15.4,
Washington,WA,2011,13.6,21.9,17.8,
Washington,WA,2012,12.3,21.7,16.9,
Washington,WA,2013,12.4,21.3,16.8,
Washington,WA,2014,11.9,22.4,17.1,
Washington,WA,2015,12.9,19.4,16.1,
Washington,WA,2016,12.2,20.7,16.4,
Washington,WA,2017,11.8,19.5,15.6,
Washington,WA,2018,11.1,18.3,14.7,
Washington,WA,2019,10.4,17.9,14.1,
Washington,WA,2020,12.7,18.1,15.4,
Washington,WA,2021,11.7,18.9,15.2,
West Virginia,WV,2011,5.2,15.5,10.1,
West Virginia,WV,2012,5.1,15.5,10.2,
West Virginia,WV,2013,6.7,15.9,11.2,
West Virginia,WV,2014,5.0,14.5,9.6,
West Virginia,WV,2015,5.0,16.5,10.6,
West Virginia,WV,2016,6.2,16.8,11.3,
West Virginia,WV,2017,7.1,16.3,11.5,
West Virginia,WV,2018,5.8,18.7,12.1,
West Virginia,WV,2019,7.2,17.8,12.4,
West Virginia,WV,2020,7.4,15.2,11.2,
West Virginia,WV,2021,7.0,16.5,11.6,
Wisconsin,WI,2011,17.4,31.3,24.3,
Wisconsin,WI,2012,20.2,30.5,25.2,
Wisconsin,WI,2013,16.4,28.8,22.5,
Wisconsin,WI,2014,15.0,29.3,22.1,
Wisconsin,WI,2015,17.1,28.9,22.9,
Wisconsin,WI,2016,19.5,29.7,24.6,
Wisconsin,WI,2017,16.5,29.2,22.7,
Wisconsin,WI,2018,18.9,28.9,23.8,
Wisconsin,WI,2019,16.5,27.7,21.9,
Wisconsin,WI,2020,17.5,28.3,22.8,
Wisconsin,WI,2021,17.9,25.9,21.9,
Wyoming,WY,2011,11.0,26.7,18.9,
Wyoming,WY,2012,10.8,23.2,17.0,
Wyoming,WY,2013,10.7,22.3,16.6,
Wyoming,WY,2014,10.3,23.8,17.2,
Wyoming,WY,2015,10.5,21.3,16.0,
Wyoming,WY,2016,12.5,24.2,18.4,
Wyoming,WY,2017,13.1,22.8,18.0,
Wyoming,WY,2018,10.0,24.6,17.4,
Wyoming,WY,2019,12.9,22.4,17.7,
Wyoming,WY,2020,12.0,20.5,16.4,
Wyoming,WY,2021,12.5,19.3,15.9,
